P1_lam,P1_ram,P2_lam,P2_ram,P3_lam,P3_ram,P4_lam,P4_ram,P5_lam,P5_ram,P6_lam,P6_ram,P7_lam,P7_ram
153954,161173,146548,165202,142486,146633,142119,147715,151539,144818,152456,148034,151601,156813
153961,161176,146404,164828,142495,146599,142110,147181,151203,144860,152525,147388,151612,156635
153963,161174,146306,164388,142494,146565,142115,146634,150804,144933,152590,147736,151606,156386
153970,161175,146194,163995,142493,146538,142112,146074,150460,145004,152635,147704,151590,156007
153981,161174,146039,163689,142498,146487,142120,145425,149966,144847,152661,147555,151582,155691
153989,161169,145919,163278,142491,146440,142133,144831,149331,144871,152674,147387,151562,155420
153989,161180,145831,162940,142498,146400,142147,144186,148679,144897,152662,147201,151542,155138
153994,161193,145765,162532,142498,146355,142157,143549,147857,144881,152653,147038,151528,154804
153995,161190,145663,162128,142504,146302,142146,142901,147042,144931,152579,146985,151512,154500
153992,161175,145563,161609,142515,146267,142134,142259,146104,144895,152561,146704,151497,154157
153977,161170,145507,161060,142533,146238,142124,141586,144920,144871,152506,147084,151482,153780
153963,161151,145431,160510,142544,146199,142089,140944,143687,144987,152474,146222,151456,153395
153968,161158,145404,160025,142547,146174,142070,140273,142510,145197,152419,146266,151419,152935
153953,161164,145383,159548,142551,146139,142061,139596,141199,145449,152375,145919,151392,152460
153957,161146,145326,158841,142548,146118,142048,138835,139719,145788,152327,145813,151361,151937
153959,161142,145280,158330,142540,146064,142049,138104,138133,146136,152276,145814,151320,151449
153965,161137,145341,157770,142532,145988,142045,137406,136411,146443,152240,145573,151271,150893
153960,161131,145342,157164,142518,145904,142036,136664,134650,146744,152218,145621,151222,150293
153968,161125,145356,156613,142498,145862,142015,135916,132729,147324,152203,145472,151166,149733
153971,161123,145359,156074,142484,145811,142014,135154,130822,147376,152190,145376,151125,149077
153979,161129,145392,155477,142459,145725,142010,134363,128960,147718,152199,145325,151092,148380
153978,161136,145407,154926,142442,145680,142016,133540,127238,148126,152195,145255,151047,147665
153989,161131,145461,154262,142416,145597,142017,132712,125639,148366,152211,145223,151009,146897
153987,161139,145499,153607,142390,145498,142001,131889,124188,148588,152211,145212,150972,146106
153995,161147,145569,152940,142383,145461,141976,131092,122971,148855,152224,145160,150945,145283
154008,161129,145597,152260,142363,145361,141987,130240,121870,149060,152230,145137,150932,144373
153998,161136,145637,151533,142350,145311,141999,129385,120900,149155,152224,145122,150924,143545
154003,161124,145702,150660,142333,145192,141991,128455,120106,149390,152237,145124,150943,142537
154000,161124,145742,149788,142318,145191,142084,127469,119403,149545,152234,145066,150951,141447
154002,161128,145782,148826,142318,145098,141944,126485,118814,149506,152228,145158,150965,140317
153999,161125,145798,147702,142297,145070,141935,125438,118351,149388,152228,144995,150982,139107
